0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
1;1691;Samuel van der Lanen;Maria Magdalena Meermans;Samuel van der Lanen & Maria Magdalena Meermans;Reinier Leers;Hoorn;Pieter Rabus ;;;;;;;;;;;;;;;;;;;;;
2;1738;Jacobus Willemsen;Elizabeth Verwout Noiret;Jacobus Willemsen & Elizabeth Verwout Noiret;Petrus Dathenus;Amsterdam;Pieter de La Ruë ;Johannes Plevier ;Isaac Schorer ;Nicolaus Barkey ;Johannes Nicolaas Treytel ;Johannes Medhurst ;Petrus Dathenus ;Jakobus Andriessen de Waal ;Hendrik Ackervelt ;Gerhard Step ;;;;;;;;;;;;
3;1744;Johan Schorer;Petronella Maria de Beaufort;Johan Schorer & Petronella Maria de Beaufort;Petrus Dathenus;Amsterdam;David Fiers Kappeine ;Johan Steengracht ;Lucas Frederik Schorer ;Petrus Dathenus ; ;;;;;;;;;;;;;;;;;
4;1693;Pieter Koolaert;Elizabeth Hoofman;Pieter Koolaert & Elizabeth Hoofman;Lescailje;;Katharina Lescailje ;David van Hoogstraten ;Joan Pluimer ;Hermannus Angelkot ;Jacob Storm ;Abraham Bógaert ;;;;;;;;;;;;;;;;
5;1702;Herman Lufneu;Anna Amsincq;Herman Lufneu & Anna Amsincq;Barent Bos;Wesel;David van Hoogstraten ;Willem Rabus ;;;;;;;;;;;;;;;;;;;;
6;1702;Gerhart Franken;Katharyne Adelheit Moonen;Gerhart Franken & Katharyne Adelheit Moonen;Arnoldus Curtenius;Amsterdam;Petrus Francius ;Janus Broukhusius ;David van Hoogstraten ;H. van Wullen ;J. Pastorius ;Lucas Rotgans ;François Halma ;L. van Olst ;Arnold Moonen ;;;;;;;;;;;;;
7;1710;Pieter Gys (1678-1759);Maria van den Bergh;Pieter Gys (1678-1759) & Maria van den Bergh;;Amsterdam;Govard Bidloo ;Hendrik Snakenburg ;;;;;;;;;;;;;;;;;;;;
8;1753;Hendrik II Bruyn;Catharina Smit;Hendrik II Bruyn & Catharina Smit;Hendrik II Bruyn;Middelburg;Izaak Bruyn ;Johannes Bruyn ;Arnoldus Bruyn ;J.H. Konstman ;Lammert Bakker ;;;;;;;;;;;;;;;;;
9;1729;Arnold Willis;Alida Gramingh;Arnold Willis & Alida Gramingh;Arnold Willis;Zaandam;Frans Greenwood ;Kornelis van Koeverden ;Daniel van Damme ;Nikolaes Versteeg ;Bernardus van Gerrevink ;Arnold Willis ;;;;;;;;;;;;;;;;
10;1715;Wessel van Balen;Maria Scholten;Wessel van Balen & Maria Scholten;Hendrik van de Gaete;Amsterdam;Filips Piek ;Abraham de West ;B.S.;Pieter Langendyk ;Hendrik van de Gaete ;B.S.;de J.E.L.;;;;;;;;;;;;;;;
11;1737;Marten Blöte;Elisabeth de Bruyn;Marten Blöte & Elisabeth de Bruyn;De Broen;Amsterdam;P. Blöte ;J. de (Jr) Bruyn ;Jacobus de Laater ;Gerred de II Broen ;Lambert van den Broek ;;;;;;;;;;;;;;;;;
12;1740;Jacob Alewyn;Margaretha Helena Graafland;Jacob Alewyn & Margaretha Helena Graafland;Bernardus van Gerrevink;;Bernardus van Gerrevink ;;;;;;;;;;;;;;;;;;;;;
13;1703;Johannes Wilhelmus van Sonten;Maria Boeken;Johannes Wilhelmus van Sonten & Maria Boeken;Bruyn;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
14;1746;Daniël Adrianus Beukelaar;Anna Maria Kerkhoven;Daniël Adrianus Beukelaar & Anna Maria Kerkhoven;Theodorus Crajenschot;Rotterdam;Jan Willem Kerkhoven ;Rudolph Marcus ;Abraham de Haen (1707-1748);Egbert Kleyn ;Jan de Vries ; H.G. (Jr);E.J. van Arrewyne ;Joannes Bollard ;;;;;;;;;;;;;;
15;1712;Jacobus Boutkan;Hester van der Kindert;Jacobus Boutkan & Hester van der Kindert;Goeree;Rotterdam;Jan Baptista Wellekens ;Jakob Zeeus ;Frans Greenwood ;A. van Sleyden ;Abraham Peyster ;;;;;;;;;;;;;;;;;
16;1721;Pieter van Schagen;Maria Couck;Pieter van Schagen & Maria Couck;Joannes Oosterwyk;Amsterdam;Willem van Ranouw ;Jan Baptista Wellekens ;Joannes Oosterwyk ;;;;;;;;;;;;;;;;;;;
17;1703;Andreas Blankert;Constantia van Schooneveld;Andreas Blankert & Constantia van Schooneveld;Boeteman;;Willem van der Hoeven ;;;;;;;;;;;;;;;;;;;;;
18;1721;Christoffel Castricum;Anna Beekman;Christoffel Castricum & Anna Beekman;Andries (wed) Castricum;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
19;1723;George Wetstein;Anna Otto;George Wetstein & Anna Otto;Wetstein;Amsterdam;Isaac Verburg ;Willem van der Hoeven ;Claas Bruin ;Gijsbert Tysens ;Joannes Haverkamp ;François Jansz van Hoogstraten ;J. Schoonhoven ;v.D.;J.V.A.;Willem van Swaanenburg ;Frederik Hendrik Wetstein ;Willem Hendrik Wetstein ;;;;;;;;;;
20;1727;Jan (Jr) Wenkink;Belia van Nuld;Jan (Jr) Wenkink & Belia van Nuld;Willem Barents;;Paulus Jansz Wenkink ;Willem van der Hoeven ;P.R.D.;;;;;;;;;;;;;;;;;;;
21;1731;Jan Veen Rentinck;Maria Mol;Jan Veen Rentinck & Maria Mol;Gerrit Bouman;Amsterdam;Arnout Rentink ;Albertus van Westerhof ;Abraham Titsingh ;Johannes Meyer ;G. de Jong ;Adriaan de Kramer ;;;;;;;;;;;;;;;;
22;1725;Isaac Nylant;Johanna de Veer;Isaac Nylant & Johanna de Veer;Lescailje;Deventer;Abraham de Veer ;Isaac Kintsius ;Pieter de Veer ;Herkules Bouman ; ;;;;;;;;;;;;;;;;;
23;1727;Michiel Hals;Catharina Scholten;Michiel Hals & Catharina Scholten;Hendrik Bosch;Rotterdam;Georgius van Zonhoven ;;;;;;;;;;;;;;;;;;;;;
24;1725;Lucas Bardon;Anna Groenewoud;Lucas Bardon & Anna Groenewoud;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
