0;Database;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs
1111;KB;1600.0;Guilielmus Martigny;Anna Brederode;Guilielmus Martigny & Anna Brederode;Aelbrecht Hendricksz;s-Gravenhage;;Hugo de Groot;;;;;;;;;;;;;;;;;;;;;;Hugo de Groot
1112;KB;1600.0;Guilielmus Martigny;Anna Brederode;Guilielmus Martigny & Anna Brederode;Aelbrecht Hendricksz;s-Gravenhage;Amsterdam;Johannes Meursius;;;;;;;;;;;;;;;;;;;;;;Johannes Meursius
676;KB;1601.0;Nicolaas van Hyc;Margareta van den Berch;Nicolaas van Hyc & Margareta van den Berch;Thomas Basson;Leiden;Haarlem;Joachim Cranendonck;;;;;;;;;;;;;;;;;;;;;;Joachim Cranendonck
1039;KB;1601.0;Henricus van Cranenburg;Johanna van Nieupoort;Henricus van Cranenburg & Johanna van Nieupoort;Christoffel Guyot;Leiden;;Henricus Jonckheyn;Arnoldus And. Pagius;;;;;;;;;;;;;;;;;;;;;Henricus Jonckheyn, Arnoldus And. Pagius
1040;KB;1602.0;Hugo Laurentius Swaenwijck;Janneken Cornelisd Vroesen;Hugo Laurentius Swaenwijck & Janneken Cornelisd Vroesen;Christoffel Guyot;Leiden;Amsterdam;Matthaeus Adriaensz Burgius;;;;;;;;;;;;;;;;;;;;;;Matthaeus Adriaensz Burgius
1951;KB;1603.0;Pieter Rezen;Johanna van der Mert;Pieter Rezen & Johanna van der Mert;Jan van II Waesberge;Breda;Dordrecht;Aegidius Carpentier;;;;;;;;;;;;;;;;;;;;;;Aegidius Carpentier
1952;KB;1603.0;Jacob van Aerssen;Maria van der Veken;Jacob van Aerssen & Maria van der Veken;Jan van II Waesberge;Breda;Amsterdam;Henricus van Cranenburg;;;;;;;;;;;;;;;;;;;;;;Henricus van Cranenburg
2308;KB;1604.0;Pieter Reael;Weintgen Oetgens;Pieter Reael & Weintgen Oetgens;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
2309;KB;1604.0;Abraham van der Voort;Elisabet Rekenaer;Abraham van der Voort & Elisabet Rekenaer;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
3406;STCN;1605.0;Abraham van der Voort;Elisabet Rekenaer;Abraham van der Voort & Elisabet Rekenaer;;Leiden;;;;;;;;;;;;;;;;;;;;;;;;
847;KB;1606.0;Adriaen de Voghel van Spreeuwesteijn;Jannette de Leu;Adriaen de Voghel van Spreeuwesteijn & Jannette de Leu;Jan Andriesz;Delft;Leiden;Willem Jansz van Yselveer;;;;;;;;;;;;;;;;;;;;;;Willem Jansz van Yselveer
401;KB;1608.0;Hugo de Groot;Maria van Reigersbergh;Hugo de Groot & Maria van Reigersbergh;Van Dorp;Leiden;Rotterdam;Daniel Heinsius;Hugo de Groot;;;;;;;;;;;;;;;;;;;;;Daniel Heinsius, Hugo de Groot
404;KB;1608.0;Johannes Melander;Maria van Hohenlohe;Johannes Melander & Maria van Hohenlohe;Henrick Lodewijcxsz van Haestens;Leiden;;Hugo de Groot;Daniel Heinsius;;;;;;;;;;;;;;;;;;;;;Hugo de Groot, Daniel Heinsius
1563;KB;1608.0;Johannes Melander;Maria van Hohenlohe;Johannes Melander & Maria van Hohenlohe;Jan Jacobsz Paets;Leiden;Amsterdam;Dominicus Baudius;;;;;;;;;;;;;;;;;;;;;;Dominicus Baudius
1564;KB;1608.0;Willebrord Snellius;Maria de Langhe;Willebrord Snellius & Maria de Langhe;Jan Jacobsz Paets;Leiden;Amsterdam;Bonaventura Vulcanius;Jacobus Lettingius;;;;;;;;;;;;;;;;;;;;;Bonaventura Vulcanius, Jacobus Lettingius
653;KB;1609.0;Cornelius Hensbekius;Eva Bennings;Cornelius Hensbekius & Eva Bennings;Thomas Basson;Leiden;Breda;Joachim Cranendonck;;;;;;;;;;;;;;;;;;;;;;Joachim Cranendonck
2310;KB;1609.0;Johannes Hellinx;Geertruyt Hudde;Johannes Hellinx & Geertruyt Hudde;;;Amsterdam;Burgert van der Wael;;;;;;;;;;;;;;;;;;;;;;Burgert van der Wael
2311;KB;1609.0;Henderick Laurens;Grietgen Tymens;Henderick Laurens & Grietgen Tymens;;;;Burgert van der Wael;;;;;;;;;;;;;;;;;;;;;;Burgert van der Wael
1565;KB;1610.0;Jacob Alblas;Cornelia Pierlings;Jacob Alblas & Cornelia Pierlings;Jan Jacobsz Paets;Leiden;Amsterdam;Charles van Wijckhuys;;;;;;;;;;;;;;;;;;;;;;Charles van Wijckhuys
607;KB;1611.0;Jan Pietersz van Dijck;Aefgen Jans Ops;Jan Pietersz van Dijck & Aefgen Jans Ops;Hendrick Barentsz;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
