0;Database;year;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs;n-authors;firstname_bride;lastname_bride;firstname_groom;lastname_groom;firstname_printer;lastname_printer;bride_authors;groom_authors;bride_printer;groom_printer;Printer_authors;lastnameprinter_authors;bride_authors_count;groom_authors_count
1046;KB;1645.0;Jacobus de Vos;Catharina Hendricx;Jacobus de Vos & Catharina Hendricx;Claes Albertsz Haen;Haarlem;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Catharina;Hendricx;Jacobus de;Vos;Claes Albertsz;Haen;False;False;False;False;False;False;0;0
1949;KB;1678.0;Joannes Antonides van der Goes;Suzanna Bormans;Joannes Antonides van der Goes & Suzanna Bormans;Abraham van II Waesberge;Rotterdam;Amsterdam;Katharina Lescailje;Laurens Bake van Wulverhorst;Govard Bidloo;Pieter Verhoek;Pieter de La Croix;David van Hoogstraten;Joan Pluimer;;;;;;;;;;;;;;;;Katharina Lescailje, Laurens Bake van Wulverhorst, Govard Bidloo, Pieter Verhoek, Pieter de La Croix, David van Hoogstraten, Joan Pluimer;7;Suzanna;Bormans;Joannes Antonides van der;Goes;Abraham van II;Waesberge;False;False;False;False;False;False;0;0
211;KB;1679.0;Jan Nieuwenhove;Eva Blok;Jan Nieuwenhove & Eva Blok;Johannes Dale;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Eva;Blok;Jan;Nieuwenhove;Johannes;Dale;False;False;False;False;False;False;0;0
217;KB;1679.0;Gerard Rogge;Geertruit Konink;Gerard Rogge & Geertruit Konink;Johannes Dale;Amsterdam;Dordrecht;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Geertruit;Konink;Gerard;Rogge;Johannes;Dale;False;False;False;False;False;False;0;0
2375;KB;1679.0;Jan de Wale;Agata Vlaming;Jan de Wale & Agata Vlaming;;;Utrecht;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Agata;Vlaming;Jan de;Wale;;;False;False;False;False;True;True;0;0
2376;KB;1679.0;Marten Du Floo;Elsje Rooleeuw;Marten Du Floo & Elsje Rooleeuw;;;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Elsje;Rooleeuw;Marten Du;Floo;;;False;False;False;False;True;True;0;0
1249;KB;1680.0;Gillis de Koker;Hester Liemans;Gillis de Koker & Hester Liemans;Lescailje;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Hester;Liemans;Gillis de;Koker;Lescailje;;False;False;False;False;False;True;0;0
1579;KB;1680.0;Gillis Vermeersch;Maria Fontein;Gillis Vermeersch & Maria Fontein;Michiel (wed) Pietersz;Amsterdam;Haarlem;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria;Fontein;Gillis;Vermeersch;Michiel (wed);Pietersz;False;False;False;False;False;False;0;0
2378;KB;1680.0;Herman Gerritsz Bakker;Geertruid Longespee;Herman Gerritsz Bakker & Geertruid Longespee;;;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Geertruid;Longespee;Herman Gerritsz;Bakker;;;False;False;False;False;True;True;0;0
91;KB;1681.0;Antoni Blok;Agneta Blok;Antoni Blok & Agneta Blok;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Agneta;Blok;Antoni;Blok;Boeteman;;False;False;False;False;False;True;0;0
1011;KB;1681.0;Jan Ovaar;Peternella Mesdag;Jan Ovaar & Peternella Mesdag;Goeree;Amsterdam;Den Haag;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Peternella;Mesdag;Jan;Ovaar;Goeree;;False;False;False;False;False;True;0;0
1128;KB;1681.0;Jacobus Verbrugge;Maria Terwen;Jacobus Verbrugge & Maria Terwen;François van Hoogstraeten;Dordrecht;Amsterdam;Jan van Hoogstraten;Pieter van Bracht;François van Hoogstraeten;David van Hoogstraten;;;;;;;;;;;;;;;;;;;Jan van Hoogstraten, Pieter van Bracht, François van Hoogstraeten, David van Hoogstraten;4;Maria;Terwen;Jacobus;Verbrugge;François van;Hoogstraeten;False;False;False;False;True;True;0;0
1671;KB;1681.0;David de Neufville;Agneta de Neufville;David de Neufville & Agneta de Neufville;Jan Rieuwertsz;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Agneta de;Neufville;David de;Neufville;Jan;Rieuwertsz;False;False;False;False;False;False;0;0
193;KB;1682.0;Gerbrant Hartzen;Ida Blok;Gerbrant Hartzen & Ida Blok;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Ida;Blok;Gerbrant;Hartzen;Boeteman;;False;False;False;False;False;True;0;0
212;KB;1682.0;Jakob Noë;Elizabet Verbrugge;Jakob Noë & Elizabet Verbrugge;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Elizabet;Verbrugge;Jakob;Noë;Boeteman;;False;False;False;False;False;True;0;0
221;KB;1682.0;Joan van der Smisse;Katharina Barnaart;Joan van der Smisse & Katharina Barnaart;Boeteman;Amsterdam;Delft;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Katharina;Barnaart;Joan van der;Smisse;Boeteman;;False;False;False;False;False;True;0;0
169;KB;1683.0;David Barnaerts;Anna Keteling;David Barnaerts & Anna Keteling;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Anna;Keteling;David;Barnaerts;Boeteman;;False;False;False;False;False;True;0;0
199;KB;1683.0;Nikolaes Kops;Sara van Kazele;Nikolaes Kops & Sara van Kazele;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Sara van;Kazele;Nikolaes;Kops;Boeteman;;False;False;False;False;False;True;0;0
200;KB;1683.0;Jan Copyn;Katarina Antwerpen;Jan Copyn & Katarina Antwerpen;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Katarina;Antwerpen;Jan;Copyn;Boeteman;;False;False;False;False;False;True;0;0
201;KB;1683.0;Niklaes Kopyn;Maria Verschuure;Niklaes Kopyn & Maria Verschuure;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria;Verschuure;Niklaes;Kopyn;Boeteman;;False;False;False;False;False;True;0;0
191;KB;1684.0;Jan Haring;Anna van der Schuuren;Jan Haring & Anna van der Schuuren;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Anna van der;Schuuren;Jan;Haring;Boeteman;;False;False;False;False;False;True;0;0
1129;KB;1684.0;Geeraerd Sam;Henrika Franken;Geeraerd Sam & Henrika Franken;Jan van Hoogstraten;Dordrecht;Veere;David van Hoogstraten;Jan van Hoogstraten;Cornelis van Bracht;;;;;;;;;;;;;;;;;;;;David van Hoogstraten, Jan van Hoogstraten, Cornelis van Bracht;3;Henrika;Franken;Geeraerd;Sam;Jan van;Hoogstraten;False;False;False;False;True;True;0;0
1836;KB;1684.0;Pieter Gryspeert;Sara Putmans;Pieter Gryspeert & Sara Putmans;Hieronymus Sweerts;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Sara;Putmans;Pieter;Gryspeert;Hieronymus;Sweerts;False;False;False;False;False;False;0;0
1837;KB;1684.0;Jakobus Barnaerts;Jacomina Verhammen;Jakobus Barnaerts & Jacomina Verhammen;Hieronymus Sweerts;Amsterdam;Haarlem;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Jacomina;Verhammen;Jakobus;Barnaerts;Hieronymus;Sweerts;False;False;False;False;False;False;0;0
1839;KB;1684.0;Joan de Stoppelaer;Ida de Neufville;Joan de Stoppelaer & Ida de Neufville;Hieronymus Sweerts;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Ida de;Neufville;Joan de;Stoppelaer;Hieronymus;Sweerts;False;False;False;False;False;False;0;0
216;KB;1685.0;David Roeters;Anna van der Meersch;David Roeters & Anna van der Meersch;Boeteman;Amsterdam;;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Anna van der;Meersch;David;Roeters;Boeteman;;False;False;False;False;False;True;0;0
1448;KB;1685.0;Simon Banheining;Alida Hartsen;Simon Banheining & Alida Hartsen;Abraham Olofsz;Amsterdam;;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Alida;Hartsen;Simon;Banheining;Abraham;Olofsz;False;False;False;False;False;False;0;0
1672;KB;1686.0;Jakob Bus;Maria van Limburg;Jakob Bus & Maria van Limburg;Jan Rieuwertsz;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria van;Limburg;Jakob;Bus;Jan;Rieuwertsz;False;False;False;False;False;False;0;0
2386;KB;1686.0;Cornelis Spiering;Geertruyt van der Goes;Cornelis Spiering & Geertruyt van der Goes;;;Rotterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Geertruyt van der;Goes;Cornelis;Spiering;;;False;False;False;False;True;True;0;0
107;KB;1687.0;Gerard de Beveren;Anna Eling;Gerard de Beveren & Anna Eling;Mattheus van Nispen;Dordrecht;Zwolle;David van Hoogstraten;;;;;;;;;;;;;;;;;;;;;;David van Hoogstraten;1;Anna;Eling;Gerard de;Beveren;Mattheus van;Nispen;False;False;False;False;False;False;0;0
198;KB;1687.0;Jakobus Kops;Elizabeth Barnaart;Jakobus Kops & Elizabeth Barnaart;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Elizabeth;Barnaart;Jakobus;Kops;Boeteman;;False;False;False;False;False;True;0;0
1313;KB;1687.0;Dirk Gockels;Judith Spruit;Dirk Gockels & Judith Spruit;Barent van Lier;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Judith;Spruit;Dirk;Gockels;Barent van;Lier;False;False;False;False;False;False;0;0
1314;KB;1687.0;Aarnout van Dompselaar;Joanna Anna de Bordes;Aarnout van Dompselaar & Joanna Anna de Bordes;Barent van Lier;Amsterdam;Ouderkerk;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Joanna Anna de;Bordes;Aarnout van;Dompselaar;Barent van;Lier;False;False;False;False;False;False;0;0
1315;KB;1687.0;Willem Barnaerts;Maria van Westbusch;Willem Barnaerts & Maria van Westbusch;Barent van Lier;Amsterdam;Haarlem;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria van;Westbusch;Willem;Barnaerts;Barent van;Lier;False;False;False;False;False;False;0;0
1316;KB;1687.0;Johannes (Jr) Bredenburg;Sara Laagendaal;Johannes (Jr) Bredenburg & Sara Laagendaal;Barent van Lier;Amsterdam;Rotterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Sara;Laagendaal;Johannes (Jr);Bredenburg;Barent van;Lier;False;False;False;False;False;False;0;0
