id;label;function;year;place_print
1;Pieter Gys (1678-1759) & Maria van den Bergh;Bruidspaar;1710;
2;Govard Bidloo;Auteur;;
3;Hendrik Snakenburg;Auteur;;
4;Lucas Bardon & Anna Groenewoud;Bruidspaar;1725;
5;Pieter Langendyk;Auteur;;
6;Cornelis Izaaksz van den Bogaerd & Christina Willink;Bruidspaar;1720;
7;A. Izaaksz van den Bogaerd;Auteur;;
8;Claas Bruin;Auteur;;
9;Kornelis van Koeverden;Auteur;;
10;Abraham van Limburg & Anna Giffenig;Bruidspaar;1721;
11;J. van Tol;Auteur;;
12;Hendrik Fouree;Auteur;;
13;David Giffenig;Auteur;;
14;Joannes Hancock;Auteur;;
15;Johannes Hooykaas;Auteur;;
16;Gerrit Onstenk & Maria van den Ende;Bruidspaar;1728;
17;Willem Onstenk;Auteur;;
18;Magdalena Mansveld;Auteur;;
19;Enoch Krook;Auteur;;
20;Nicolaas Simon van Winter & Johanna Muhl;Bruidspaar;1744;
21;Nicolaas Simon van Winter;Auteur;;
22;Agatha Maria Sena;Auteur;;
23;Elisabeth van Leeuwaarden;Auteur;;
24;Bernardus de Bosch;Auteur;;
25;Jan Jacob van Westreenen & Johanna Catharina Mamuchet de Houderingen;Bruidspaar;1759;
26;Margareta Petronella Keppel;Auteur;;
27;Franciscus Dankers & Cornelia Robol;Bruidspaar;1721;
28;A.S.;Auteur;;
29;Jacob van Heule & Lidia Swart;Bruidspaar;1720;
30;Jan Goeree;Auteur;;
31;Ewoud van der Dussen & Catharina Maria Vallensis;Bruidspaar;1704;
32;Paulus Bosveld;Auteur;;
33;C. Breydel;Auteur;;
34;A.R.;Auteur;;
35;Wilhem van Maurik & Eva van Gelder;Bruidspaar;1710;
36;Christiaan Tirion;Auteur;;
37;Abraham Peyster;Auteur;;
38;Cornelis van Eeke;Auteur;;
39;Nicolaus Spranger & Maria van den Honert;Bruidspaar;1728;
40;Franciscus Burman;Auteur;;
41;Theodorus Haganaeus;Auteur;;
42;Petrus Burman;Auteur;;
43;Jan van der Voort;Auteur;;
44;Adrianus Wolff;Auteur;;
45;N. Bak;Auteur;;
46;Cornelis van Bynkershoek & Gerardina Cloot;Bruidspaar;1728;
47;Carolus van Heusden;Auteur;;
48;Petrus Burman & Anna Knuyse;Bruidspaar;1746;
49;Otto Arntzenius;Auteur;;
50;Bartholomaeus Sieben;Auteur;;
51;Jan Pieter Theodoor Huydecoper;Auteur;;
52;Ernst Willem Higt;Auteur;;
53;Jan Willem Kerkhoven;Auteur;;
54;Franciscus Fabricius & Anna van Teylingen;Bruidspaar;1690;
55;G.B.;Auteur;;
56;Herman Vingerhoedt (1697-1762) & Maria 's-Graefweg;Bruidspaar;1729;
57;Cornelis Nieuwaart;Auteur;;
58;Willem van der Pot;Auteur;;
59;Dirk Smits;Auteur;;
60;J.B.;Auteur;;
61;Huibert van Wyn & Susanna Margareta Molenaar;Bruidspaar;1756;
62;Hendrik van Wyn;Auteur;;
63;Meinardus Ruysch & Barbara Hillegonda van der Stel;Bruidspaar;1751;
64;Pieter Schipper;Auteur;;
65;Pieter Twent & Elisabeth Adriana van der Lely;Bruidspaar;1732;
66;Hippocrates;Auteur;;
67;Cornelis van der Sys & Maria de Vyver;Bruidspaar;1722;
68;Jan van der Sys;Auteur;;
69;Pr.Ae;Auteur;;
70;Carel de Dieu & Anna Bregitta de La Croix;Bruidspaar;1731;
71;J.R. van Hoolwerff;Auteur;;
72;Abraham Titsingh;Auteur;;
73;I. Lootens;Auteur;;
74;Lambert van den Broek;Auteur;;
75;C.L.;Auteur;;
76;I.V.L.;Auteur;;
77;Hendrik Sanders & Catharina van Loo;Bruidspaar;1749;
78;L. van Loo;Auteur;;
79;C.V.T.;Auteur;;
80;J.W.V.T.;Auteur;;
81;B.C.;Auteur;;
82;Jonas Witsen & Isabella Maria Hooft;Bruidspaar;1704;
83;Simon Schynvoet;Auteur;;
84;Dirk Beckeringh & Geertruide van Hulten;Bruidspaar;1741;
85;Gerhard Alting;Auteur;;
86;Lucas Trip;Auteur;;
87;Michiel van Bolhuis;Auteur;;
88;Willem Bellaard & Magtilda Vermaten;Bruidspaar;1727;
89;A.F. de Bruyn;Auteur;;
90;Everhard Storm;Auteur;;
91;Gerardus Knoll;Auteur;;
92;C.K.;Auteur;;
93;Jacob Brandt & Maria Geertruid Beudeker;Bruidspaar;1727;
94;Jan Cloppenburg;Auteur;;
95;Jan van Lankom & Christina Benthem;Bruidspaar;1714;
96;Willem van der Hoeven;Auteur;;
97;Abraham van Lankom;Auteur;;
98;Hendrik van de Gaete;Auteur, Drukker;;
99;Joannes Oosterwyk;Auteur, Drukker;;
100;David Franciscus Peill & Geertruid van Dyk;Bruidspaar;1750;
101;Johannes van Dyk;Auteur;;
102;Cornelis Dorsman & Jannetje Hopman;Bruidspaar;1750;
103;Anthony Buiteweg;Auteur;;
104;Huybregt van Maaswinkel;Auteur;;
105;Jacob Fabrice Burman & Anna van der Strengh;Bruidspaar;1740;
106;Jan Balde;Auteur;;
107;Jacobus van der Strengh;Auteur;;
108;Louis Philippe Serrurier;Auteur;;
109;Theodorus Paludanus;Auteur;;
110;Dirk Willink;Auteur;;
111;Pieter Straat;Auteur;;
112;Jan Luyken;Auteur;;
113;Govert Klinkhamer;Auteur;;
114;Lucas Pater;Auteur;;
115;Pieter van de Walle;Auteur;;
116;Joannes Haverkamp;Auteur;;
117;Adriaan Jacobsz van Ommering;Auteur;;
118;Lodewyk van Dam & Agatha de Bye;Bruidspaar;1711;
119;Johan Steengracht;Auteur;;
120;Silvester van Tongeren & Maria Cornelisz;Bruidspaar;1719;
121;Jacob Raket (Jr);Auteur;;
122;Johannes de Cerff & Elisabeth Swart;Bruidspaar;1684;
123;W.S.;Auteur;;
124;Pieter Claris & Maria de Planke;Bruidspaar;1757;
125;Joachim Oudaen;Auteur;;
126;Jan Cordelois & Anna Catharina van Velthuysen;Bruidspaar;1751;
127;Joannes Albertus Jacobi;Auteur;;
128;Frans de Haes;Auteur;;
129;Regnerus van Overschuur;Auteur;;
130;Jan Jansz Lagendaal;Auteur;;
131;Joan Beeldsnyder Steenbergen & Geertruid Sophia op ten Noordt;Bruidspaar;1709;
132;Pieter Plemper;Auteur;;
133;Martyn van Heukelom & Theodora Agatha van Panhuys;Bruidspaar;1732;
134;Laurens Steversloot;Auteur;;
135;Jan Follé & Margareta van der Horst;Bruidspaar;1727;
136;Abraham de Haen;Auteur;;
137;Lieve Geelvinck (1730-1757) & Catharina Elisabeth Hasselaer;Bruidspaar;1756;
138;Johan Marinus Chalmers & Elisabeth Pottey;Bruidspaar;1744;
139;Jakob Johan Andriessen;Auteur;;
140;Cornelis Corn Calff & Grietje Claase Bloem;Bruidspaar;1707;
141;Eduard Ploos van Amstel & Margareta Goetvall;Bruidspaar;1735;
142;Herkules Bouman;Auteur;;
143;Cornelis Bruyn;Auteur;;
144;Abraham Erbervelt;Auteur;;
145;Gualterus Hennequin & Ewouda Verschuur;Bruidspaar;1713;
146;Gysbert Bremer;Auteur;;
147;Lambert van Neck & Theodora Maria Groenhout;Bruidspaar;1739;
148;Joannes J.J. Jens;Auteur;;
149;Joannes ter Hoeven;Auteur;;
150;Jacobus Henricus Dreux;Auteur;;
151;Pieter Messchaert & Maria de Haes;Bruidspaar;1689;
152;Johannes Bredenburg (Jr);Auteur;;
153;Jan Nicolaas Floris graaf van Nassau La Lecq & Maria Anna Testas;Bruidspaar;1749;
154;Petrus Theodorus van Hamel;Auteur;;
155;Gerrit Willem van Oosten de Bruyn & Maria Croon;Bruidspaar;1754;
156;Gerrit Willem van Oosten de Bruyn;Auteur;;
157;Abraham Perrenot;Auteur;;
158;Jan Croon;Auteur;;
159;Adriaan Spinniker;Auteur;;
160;Daniël de Burlett;Auteur;;
161;Rudolph de Burlett;Auteur;;
162;Maria van Varelen;Auteur;;
163;Everhard François Schimmelpenning & Sara Du Try;Bruidspaar;1744;
164;Carel Johan Houttuyn;Auteur;;
165;Joannes Braam van Yver;Auteur;;
166;Anthoni Pieter Lambrechtsen & Constantia Susanna van Boesschot;Bruidspaar;1755;
167;Jan Guepin;Auteur;;
168;Conradus Busken;Auteur;;
