id;label;function;year;place_print
1;Jacobus de Vos & Catharina Hendricx;Bruidspaar;1645.0;
2;Claes Albertsz Haen;Drukker;;Haarlem
3;Anthony Jansen;Auteur;;
4;Joannes Antonides van der Goes & Suzanna Bormans;Bruidspaar;1678.0;
5;Abraham van II Waesberge;Drukker;;Rotterdam
6;Katharina Lescailje;Auteur;;
7;Laurens Bake van Wulverhorst;Auteur;;
8;Govard Bidloo;Auteur;;
9;Pieter Verhoek;Auteur;;
10;Pieter de La Croix;Auteur;;
11;David van Hoogstraten;Auteur;;
12;Joan Pluimer;Auteur;;
13;Jan Nieuwenhove & Eva Blok;Bruidspaar;1679.0;
14;Johannes Dale;Drukker;;Amsterdam
15;Gerard Rogge & Geertruit Konink;Bruidspaar;1679.0;
16;Jan de Wale & Agata Vlaming;Bruidspaar;1679.0;
17;Marten Du Floo & Elsje Rooleeuw;Bruidspaar;1679.0;
18;Gillis de Koker & Hester Liemans;Bruidspaar;1680.0;
19;Lescailje;Drukker;;Amsterdam
20;Gillis Vermeersch & Maria Fontein;Bruidspaar;1680.0;
21;Michiel (wed) Pietersz;Drukker;;Amsterdam
22;Herman Gerritsz Bakker & Geertruid Longespee;Bruidspaar;1680.0;
23;Antoni Blok & Agneta Blok;Bruidspaar;1681.0;
24;Boeteman;Drukker;;Amsterdam
25;Jan Ovaar & Peternella Mesdag;Bruidspaar;1681.0;
26;Goeree;Drukker;;Amsterdam
27;Jacobus Verbrugge & Maria Terwen;Bruidspaar;1681.0;
28;François van Hoogstraeten;Auteur, Drukker;;Dordrecht
29;Jan van Hoogstraten;Auteur, Drukker;;
30;Pieter van Bracht;Auteur;;
31;David de Neufville & Agneta de Neufville;Bruidspaar;1681.0;
32;Jan Rieuwertsz;Drukker;;Amsterdam
33;Gerbrant Hartzen & Ida Blok;Bruidspaar;1682.0;
34;Jakob Noë & Elizabet Verbrugge;Bruidspaar;1682.0;
35;Joan van der Smisse & Katharina Barnaart;Bruidspaar;1682.0;
36;David Barnaerts & Anna Keteling;Bruidspaar;1683.0;
37;Nikolaes Kops & Sara van Kazele;Bruidspaar;1683.0;
38;Jan Copyn & Katarina Antwerpen;Bruidspaar;1683.0;
39;Niklaes Kopyn & Maria Verschuure;Bruidspaar;1683.0;
40;Jan Haring & Anna van der Schuuren;Bruidspaar;1684.0;
41;Geeraerd Sam & Henrika Franken;Bruidspaar;1684.0;
42;Cornelis van Bracht;Auteur;;
43;Pieter Gryspeert & Sara Putmans;Bruidspaar;1684.0;
44;Hieronymus Sweerts;Drukker;;Amsterdam
45;Jakobus Barnaerts & Jacomina Verhammen;Bruidspaar;1684.0;
46;Joan de Stoppelaer & Ida de Neufville;Bruidspaar;1684.0;
47;David Roeters & Anna van der Meersch;Bruidspaar;1685.0;
48;Simon Banheining & Alida Hartsen;Bruidspaar;1685.0;
49;Abraham Olofsz;Drukker;;Amsterdam
50;Jakob Bus & Maria van Limburg;Bruidspaar;1686.0;
51;Cornelis Spiering & Geertruyt van der Goes;Bruidspaar;1686.0;
52;Gerard de Beveren & Anna Eling;Bruidspaar;1687.0;
53;Mattheus van Nispen;Drukker;;Dordrecht
54;Jakobus Kops & Elizabeth Barnaart;Bruidspaar;1687.0;
55;Dirk Gockels & Judith Spruit;Bruidspaar;1687.0;
56;Barent van Lier;Drukker;;Amsterdam
57;Aarnout van Dompselaar & Joanna Anna de Bordes;Bruidspaar;1687.0;
58;Willem Barnaerts & Maria van Westbusch;Bruidspaar;1687.0;
59;Johannes (Jr) Bredenburg & Sara Laagendaal;Bruidspaar;1687.0;
60;Rutger Aartsen & Joanna van Hoogemade;Bruidspaar;1687.0;
61;Pieter Beets & Maria Roosekrans;Bruidspaar;1688.0;
62;A. Henstenburg;Auteur;;
63;Jan Jansen Louwe & Anna Roos;Bruidspaar;1688.0;
64;Tieleman van ter Ney & Sara Targier;Bruidspaar;1688.0;
65;Abraham Targier;Auteur;;
66;Pieter van Halmael Adams & Suzanna Betrang;Bruidspaar;1689.0;
67;Jacob Teyler & Magdalena de Haan;Bruidspaar;1689.0;
68;Vredenryk Beets & Sara Vorsterman;Bruidspaar;1690.0;
69;Theodorus van Born & Maria van der Schuuren;Bruidspaar;1690.0;
70;Jan de Neufville & Joanna van Beeck;Bruidspaar;1690.0;
71;Jan Copyn & Janneke Terwen;Bruidspaar;1690.0;
72;Herman ten Kate & Jozyna Bronkhorst;Bruidspaar;1691.0;
73;Pieter van Beek & Katarina Aldeweerelt;Bruidspaar;1691.0;
74;Andries van Dale & Maria Dop;Bruidspaar;1691.0;
75;Jan van Koppenol & Cornelia Aartsen;Bruidspaar;1691.0;
76;Hendrik Oosterling & Kornelia de Veer;Bruidspaar;1691.0;
77;Martinis Davidse Kleewens & Elizabet van Aalst;Bruidspaar;1691.0;
