Joannes Oosterwyk;122
Lescailje;94
Boeteman;92
Hendrik van de Gaete;74
Theodorus Crajenschot;59
Paulus Aertsz van Ravesteyn;49
Geldorp;23
De Broen;21
Goeree;19
Willem Barents;19
Joannes van Braam;18
Arnold Willis;17
Barent Visscher;17
Jan Rieuwertsz;16
Joost Hartgersz;15
Jan van Damme;15
François Halma;15
Arentsz;14
Gerard onder de Linden;13
Jacobus van Hardenberg;13
Hendrik Bosch;12
Izaak van der Vinne;12
Joris van der Woude;12
Hendrik Sligtenhorst;11
Van Egmont;11
Fredrik Helm;11
Pieter van den II Berge;10
Joost Broersz;10
Enschede;10
Gerrit Muntendam;9
Reinier Boitet;9
Willem Christiaens van der Boxe;9
David Ruarus;9
Dirck Pietersz Pers;9
Adriaan van Boekholt;9
Salomon Schouten;8
Jan Roman;8
Gerrit Bouman;8
Gerrit Hendricxsz van Breughel;8
Bruyn;8
Barent Bos;8
Broer Jansz;8
Nicolaes van Ravesteyn;8
Johannes Smets;8
Joris Veseler;8
Nikolaas Mol;7
Hermanus van (wed) Hulkenroy;7
Jan Bosch;7
Hieronymus Sweerts;7
Petrus Dathenus;7
Gerrit Rammazeyn;7
Jacobus Verheyde;7
Ten Houten;7
Arend van Huyssteen;7
Jacob van Royen;7
Johannes van Velsen;7
Nicolaas Bos;7
Pieter Muntendam;7
Gillis van Limburg;7
Paulus Matthijsz;6
Bernardus Mourik;6
Folkert van der Plaats;6
Barent van Lier;6
Gijsbert de (wed) Groot;6
Balthazar Lakeman;6
Vincent I Casteleyn;6
Willem de Coup;6
Johan van Doesburg;6
Johannes Endenburgh;6
Jacob Brouwer;6
Isaak Tirion;6
Johannes Rotterdam;6
Albert Magnus;6
Johannes Ribbius;6
Herman Aeltsz;6
Hendrik Smets;6
Theodorus van den Eynden;6
Simon onder de Linde;6
Nicolaas Lobedanius;5
Gerardus (Jr) Lequien;5
Izaak Duim;5
Engelbertus Solmans;5
Gerrit Tielenburg;5
Jacobus Haffman;5
Jan (I) Roman;5
Gerrit Slaats;5
Jan Fredericksz Stam;5
Jan Jacobsz Paets;5
Pieter Meyer;5
Jan van Beyeren;5
Amelis Janssz van Paddenburgh;5
Van Esch;5
Antoni Waldorp;5
Arnoldus Curtenius;5
Abraham de I (wed) Wees;5
Abraham Blussé;5
Van Dorp;5
Blaeu;5
Porcevant Morgan;5
Christoffel Cunradus;5
Jacobus van Nieuweveen;4
Melchior Leonard Charlois;4
Reinier Beukelman;4
Jan Banningh;4
Gerardus I Borstius;4
Marten Jansz Brandt;4
Johannes Dale;4
Gijsbert Rijkman;4
Pieter Timmers;4
Ottens;4
Willem Doornik;4
Andries van Damme;4
Tobias van Dessel;4
Adriaen (I) Roman;4
Tymon Houthaeck;4
Andries Voorstad;4
Johannes Rammazeyn;4
Johannes van Paddenburgh;4
Johannes van Leeuwen;4
Andries Rempelaar;4
Hermanus Ackerman;4
Wetstein;4
Nicolaes van Wieringen;4
Jacob ter Beek;4
Dirck Cornelisz Houthaeck;4
Elias Yvans;4
Cornelis Fransz;4
Jan van der Linde;4
Cornelis Lelivelt;4
Denijs Verschuere;4
Joannes II Kannewet;4
Pieter van I Waesberge;4
Johann (erven) Cattepoel;4
Anthony Schouten;3
Christiaan Wijers;3
Pieter van der Veer;3
Laurens Groenewolt;3
Jan Andriesz Cloeting;3
Jacob Spanjaert;3
Harder van Ditmer;3
Hendrick van Esch;3
Jacob Cornelis Schoots van Capelle;3
Jacob Aertsz Colom;3
Hendrik Callenbach;3
Thomas Mijls;3
Willem Boot;3
Hendrik Stockinck;3
Cornelis van Hoogenhuysen;3
Jan Petersz van Wieringen;3
Boom;3
Hendrik Willem Dronsberg;3
Hendrik van Damme;3
Pieter La Burgh;3
Joannes de Wees;3
Johannes van de Kellenaar;3
Niklaas Dor;3
Cornelis Dijvoort;3
Cornelis Croock;3
Aegidius Roman;3
Pieter Sceperus;3
Niklaas Neus;3
Boudewijn Janssoon van der II Aa;3
Fredrik de Kruyff;3
Arnoldus Lobedanius;3
Joannes Maire;3
Willem Wier;3
Abraham Ferwerda;3
Michiel Schryver;3
Michiel van Leeuwen;3
François van Hoogstraeten;3
Scheltus;3
Reinier van Doesburg;3
Jan (II) Roman;3
Arnoldus Olofsen;3
Willem van Egmont;3
Frans Heeneman;3
Dirk Swart;3
Petrus Schouten;3
Simon I Clement;3
Aris Akersloot;3
Maarten van Leeuwen;3
Michel Böhm;3
Jan Andriesz;2
Adriaen Vlacq;2
Abraham (wed) Strander;2
Abraham Biestkens;2
Isaac Naeranus;2
Aelbrecht Hendricksz;2
Jan Pietersz de Does;2
Jan Spanseerder;2
Jacobus Noenaert;2
Abraham Verhoef;2
Alexander Haensbergh;2
Abraham van Essen;2
Abraham Jacobsz van der Beeck;2
Jacob (II) Sipkes;2
Jacobus Vriese;2
Jan Klooster;2
Abraham I Kallewier;2
Jacob Heerman;2
Jan Jansz van Dorp;2
Jacob Konijnenbergh;2
Adriaan Slaats;2
Abraham van der II Putte;2
Jacobus Borstius;2
Abraham van II Waesberge;2
Jan Colomp;2
Claes Albertsz Haen;2
Isaac Elzevier;2
Carel Niellius;2
Frederik Haaring;2
Bernardus van Gerrevink;2
Frans Houttuyn;2
Franciscus Moyaerd;2
Franciscus Hackius;2
Floris Schouten;2
Felix Lopez de Haro;2
Enoch de Vries;2
Endenburgh;2
Elzevier;2
Casparus (wed) Cotius;2
Hermanus Kentlink;2
Elbert Beukelman;2
Christiaen Moelé;2
Daniel Oostendorp;2
Cornelis van Zanten;2
Cornelis Sweerts;2
Cornelis Jansz;2
Christoffel Guyot;2
Christoffel II Doll;2
Cornelis Barlinckhof;2
Claes Braau;2
Frederik Klinkhamer;2
Fredrik Duim;2
Barent Paats;2
Aäron van II Poulle;2
Hermanus Herts;2
Henrick Lodewijcxsz van Haestens;2
Hendrik van der Glas;2
Hendrik van Goor;2
Hendrik Stockink;2
Anthoni de Groot;2
Hendrik II Bruyn;2
Hendrik Boussiere;2
Anthony Hoorens;2
Hendrik Blank;2
Hendrick Jansz Visscher;2
Hajo Spandaw;2
Govert Basson;2
Anthony Jansz Tongerloo;2
Gillis Joosten Saeghman;2
Anthony Tielemans;2
Gesina Elama;2
Gerrit Welhem;2
Gerrit Tydeman;2
Anzelmus Muntendam;2
Aäron van Hulkenroy;2
Hans van der Hellen;2
Zacharias van Poelje;2
Jan van Hoogstraten;2
Pieter de (wed) Coup;2
Johannes van Septeren;2
Pieter van der Meersche;2
Pieter vander Meersche;2
Pieter von Selov;2
R.J. Noordbeek;2
Reinier Leers;2
Nicolaas Byl;2
Johannes Wagens;2
Johannes Roovers;2
Severyn Matthysz;2
Simon Cornelisz Brekegeest;2
Johannes I Hofhout;2
Sybrand Stepraad;2
Thomas Basson;2
Wilhem Linnig van Koppenol;2
Pieter de Wees;2
Joris Abrahamsz van der Marsce;2
Willeboord Eling;2
Jurjen Spandaw;2
Nicolaas Potgieter;2
Matthijs I (wed) Wagens;2
Matthijs Bastiaensz;2
Martinus Petzold;2
Marten Schagen;2
Marcus Willemsz Doornick;2
Louis Davidsz Taillefert;2
Laurens van der Wiel;2
Kroon;2
Koenraat Lubeek;2
Pieter Janssoon van der II Aa;2
Pieter Jansz Slijp;2
Pieter Joosten Messchaert;2
Pieter Koumans;2
Justus van Lotten;2
Johannes (I) Stichter;2
Johannes van Aardenberg;2
Johan Arnold Langerak;2
Jan van Stendel;2
Joachim van Dyck;2
Willem Jan Reers;2
Willem van der Hoeve;2
Jan van II Waesberge;2
Crispyn Hoeckwater;1
Cornelis Nieuwoudt;1
Cornelis Seldenslach;1
Pieter Jansz van Campen;1
Abraham Vandenhoeck;1
Abraham Olofsz;1
Daniel Bakkamude;1
Willem de Jonge;1
Willem Willemsz Stam;1
Daniel Goetval;1
Pieter Jacobsz Spaan;1
Daniel van Damme;1
Daniel van den Dalen;1
Daniel van der Spyk;1
David Jansz van Ilpendam;1
Cornelis Lodewijkcksz van der Plasse;1
Adrianus Severinus van Adelhoorn;1
Cornelis Jeswiet;1
Pieter Buyster;1
Pieter de Coup;1
Abraham van Herwijck;1
Pieter Spriet;1
Claude Fonteyne;1
Willem Jansz Wijngaert;1
Cornelis (wed en zoon) Boutesteyn;1
Pieter Rammazeyn;1
Cornelis Blommesteyn;1
Pieter Paats;1
Pieter Oosterhout;1
Pieter Muller;1
Willem Kroese;1
Cornelis Jacobsz Noenaert;1
Abraham de Haen (1707-1748);1
Cornelis Jansz (wed) Timmer;1
Pieter Hendrik Charlois;1
Dirck Bockhoven;1
Pieter Bandsma;1
Nicolaes Biestkens;1
P.A. (wed en erven) Proper;1
Nicolaes van Hervelt;1
Evert Visscher;1
Evert de Melander;1
Nicolaes Schotanus;1
Felix van Sambix;1
Feyken Rijp;1
Willem van Sligt;1
Passchier van II Wesbusch;1
Nicolaas van Vucht;1
Nicolaas ten Hoorn;1
Nicolaas Smit;1
Franco Sas;1
Frans Hardomans;1
Wor & Onder de Linden;1
Nicolaas Lydelof;1
Engelbrecht I Boucquet;1
Paulus (erven) Matthijsz;1
Pieter de Vries;1
