0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
3;1744-09-03;1744;Johan Schorer;Petronella Maria de Beaufort;Petrus Dathenus;Amsterdam;David Fiers Kappeine ;Johan Steengracht ;Lucas Frederik Schorer ;Petrus Dathenus ; ;;;;;;;;;;;;;;;;;
6;1702-07-25;1702;Gerhart Franken;Katharyne Adelheit Moonen;Arnoldus Curtenius;Amsterdam;Petrus Francius ;Janus Broukhusius ;David van Hoogstraten ;H. van Wullen ;J. Pastorius ;Lucas Rotgans ;François Halma ;L. van Olst ;Arnold Moonen ;;;;;;;;;;;;;
9;1729-10-04;1729;Arnold Willis;Alida Gramingh;Arnold Willis;Zaandam;Frans Greenwood ;Kornelis van Koeverden ;Daniel van Damme ;Nikolaes Versteeg ;Bernardus van Gerrevink ;Arnold Willis ;;;;;;;;;;;;;;;;
10;1715-09-25;1715;Wessel van Balen;Maria Scholten;Hendrik van de Gaete;Amsterdam;Filips Piek ;Abraham de West ;B.S.;Pieter Langendyk ;Hendrik van de Gaete ;B.S.;de J.E.L.;;;;;;;;;;;;;;;
11;1737-10-15;1737;Marten Blöte;Elisabeth de Bruyn;De Broen;Amsterdam;P. Blöte ;J. de (Jr) Bruyn ;Jacobus de Laater ;Gerred de II Broen ;Lambert van den Broek ;;;;;;;;;;;;;;;;;
12;1740-04-26;1740;Jacob Alewyn;Margaretha Helena Graafland;Bernardus van Gerrevink;;Bernardus van Gerrevink ;;;;;;;;;;;;;;;;;;;;;
13;1703-08-17;1703;Johannes Wilhelmus van Sonten;Maria Boeken;Bruyn;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
14;1746-08-23;1746;Daniël Adrianus Beukelaar;Anna Maria Kerkhoven;Theodorus Crajenschot;Rotterdam;Jan Willem Kerkhoven ;Rudolph Marcus ;Abraham de Haen (1707-1748);Egbert Kleyn ;Jan de Vries ; H.G. (Jr);E.J. van Arrewyne ;Joannes Bollard ;;;;;;;;;;;;;;
16;1721-06-15;1721;Pieter van Schagen;Maria Couck;Joannes Oosterwyk;Amsterdam;Willem van Ranouw ;Jan Baptista Wellekens ;Joannes Oosterwyk ;;;;;;;;;;;;;;;;;;;
17;1703-01-10;1703;Andreas Blankert;Constantia van Schooneveld;Boeteman;;Willem van der Hoeven ;;;;;;;;;;;;;;;;;;;;;
18;1721-04-20;1721;Christoffel Castricum;Anna Beekman;Andries (wed) Castricum;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
20;1727-07-08;1727;Jan (Jr) Wenkink;Belia van Nuld;Willem Barents;;Paulus Jansz Wenkink ;Willem van der Hoeven ;P.R.D.;;;;;;;;;;;;;;;;;;;
21;1731-10-07;1731;Jan Veen Rentinck;Maria Mol;Gerrit Bouman;Amsterdam;Arnout Rentink ;Albertus van Westerhof ;Abraham Titsingh ;Johannes Meyer ;G. de Jong ;Adriaan de Kramer ;;;;;;;;;;;;;;;;
23;1727-02-11;1727;Michiel Hals;Catharina Scholten;Hendrik Bosch;Rotterdam;Georgius van Zonhoven ;;;;;;;;;;;;;;;;;;;;;
26;1720-06-16;1720;Abraham Buyssant;Catharina Des Amorie;Joannes Oosterwyk;Amsterdam;Cornelius van Arckel ;Jacobus Boutkan ;Pieter Langendyk ;Jan Baptista Wellekens ;Claas Bruin ;Govert van Mater ;Joannes Oosterwyk ;;; ;;;;;;;;;;;;
29;1721-06-22;1721;Malachias de La Vigne;Maria Okhuysen;Willem Barents;Amsterdam;M. van Os ;J.S. Rosthuysen ;B. Spanseerder ;George Wetstein ;Pieter Langendyk ;;;;;;;;;;;;;;;;;
30;1726-07-28;1726;Jan Hendriksz Waliën;Geertruit Eppenhof;Willem Barents;Delft;Pieter Langendyk ;H. van Lochem ;J. Waliën ;F.R.;;;;;;;;;;;;;;;;;;
33;1727-10-07;1727;Johannes van Steelant;Johanna Elisabeth de Geer;Reinier Boitet;Leiden;Joannes van Dam ;Hubert Kornelisz Poot ;Reinier Boitet ;;;;;;;;;;;;;;;;;;;
37;1730-02-07;1730;Adrianus Blok;Catarina Hillegonda Hennebo;Harder van (wed) Ditmer;Utrecht;Anna Geertruy Woordenberg ;;;;;;;;;;;;;;;;;;;;;
38;1744-05-17;1744;Gerard Winter;Aletta Maria Duyvensz;Hendrik Callenbach;Gorinchem;Jan Biman ;Anthony Bartelink ;;;;;;;;;;;;;;;;;;;;
39;1744-05-17;1744;Gerard Winter;Aletta Maria Duyvensz;Hendrik Callenbach;Amsterdam;Hendrik Callenbach ;;;;;;;;;;;;;;;;;;;;;
40;1741-07-30;1741;Jan Biman;Margareta Puit;Hendrik Callenbach;Gouda;Curtius Nordingh Doitsma ;Pieter Straat ;Anthony Bartelink ;Hendrik Callenbach ;Pieter Hoexma ;;;;;;;;;;;;;;;;;
41;1709-04-14;1709;Jacobus Josias van Bredehoff;Catharina van Foreest;Elbert Beukelman;Amsterdam;Salomo van der Ster ;Johannes Doitsma ;Cornelis Pyper ;B. Goorn ;H.B.;T.D.;C.V.V.S.;;;;;;;;;;;;;;;
42;1703-03-25;1703;Johannes Stam;Margareta Kock;Barent Bos;Amsterdam;Warner Lulofs ;Leendert Pot ;G. Stam ;N.B.;;;;;;;;;;;;;;;;;;
44;1751-07-30;1751;Jan Middelman;Anna Berck;Hendrik Willem Dronsberg;;Anthonia A.W.S. Berck ;Catharina Jacoba Middelman ;Abraham Middelman ;Paulus Rombertus Nauta ;Roelof Wouters ;Hendrik Willem Dronsberg ;E.S.;L.M.Q.P.;G.C.V.O.P.O.D.C.V.L.E.N.R.L.;J.V.C.;A.V.A.;;;;;;;;;;;
47;1728-03-25;1728;Jan Stam;Margareta Kock;Nicolaas (wed) Bos;Leiden;I.V.B.;;;;;;;;;;;;;;;;;;;;;
48;1738-10-10;1738;Hendrik Meysenheym;Maria van Werven;De Broen;Amsterdam;Hendrik Meysenheym (Jr) ;Hendrik Graauwhart ;Hendrik (Jr) Graauwhart ;Maria Graauwhart ;Hendrik van Castrop ; J.V.D.H.;;;;;;;;;;;;;;;;
